"Location","Date","NOAA_DHW_OI","DHW_max"
"Jicarón and Jicarita",1983-03-20,9.55689264364036,9.55689264364036
"Jicarón and Jicarita",1983-03-22,9.55689264364036,9.55689264364036
"Jicarón and Jicarita",1983-04-27,10.184451153123,10.7848678190823
"Jicarón and Jicarita",1998-03-15,7.09314427397768,7.09314427397768
"Jicarón and Jicarita",2015-08-15,3.71529108509569,5.08677703915183
"Jicarón and Jicarita",2016-04-15,5.08207575971944,10.6914722961843
"Montuoso",1983-03-20,8.31830661935662,8.31830661935662
"Montuoso",1983-03-22,8.31830661935662,8.31830661935662
"Montuoso",1983-04-27,7.98114015963456,9.200483686913
"Montuoso",1998-03-15,5.75819093887551,5.75819093887551
"Montuoso",2015-08-15,1.77941244946568,2.40231562037465
"Montuoso",2016-04-15,2.42730443488618,6.56542671315368
"Secas",1983-03-20,4.98939654454082,4.98939654454082
"Secas",1983-03-22,4.98939654454082,4.98939654454082
"Secas",1983-04-27,4.90178738645956,5.80747145860373
"Secas",1998-03-15,3.60133691709869,3.60133691709869
"Secas",2015-08-15,4.87795180366153,5.02889910360583
"Secas",2016-04-15,2.97753282306956,7.79644836860449
"Silva de Afuera",1983-03-20,5.21624435113401,5.21624435113401
"Silva de Afuera",1983-03-22,5.21624435113401,5.21624435113401
"Silva de Afuera",1983-04-27,6.12171196515869,6.15885485499895
"Silva de Afuera",1998-03-15,3.09573302820427,3.09573302820427
"Silva de Afuera",2015-08-15,5.69356472508438,5.70499328561381
"Silva de Afuera",2016-04-15,1.9291717496859,7.03726801061307
"Uva",1983-03-20,6.09441210299123,6.09441210299123
"Uva",1983-03-22,6.09441210299123,6.09441210299123
"Uva",1983-04-27,6.62250402022382,7.11980317563427
"Uva",1998-03-15,3.03125159594478,3.03125159594478
"Uva",2015-08-15,6.68090798903485,6.84170045658034
"Uva",2016-04-15,2.37315997298883,7.55455811169683
