Category,Location,Date,Genus,Species,transect,Condition,value,Reference,Event
Species,Uva,03/20/83,Millepora,Millepora intricata,T1,Bleached,NA,Glynn_1983,1982-83
Species,Uva,03/20/83,Millepora,Millepora platyphylla,T1,Bleached,NA,Glynn_1983,1982-83
Species,Uva,03/20/83,Pocillopora,Pocillopora damicornis,T1,Bleached,1,Glynn_1983,1982-83
Species,Uva,03/20/83,Pocillopora,Pocillopora elegans,T1,Bleached,0.883,Glynn_1983,1982-83
Species,Uva,03/20/83,Other scleractinians,Porites panamensis,T1,Bleached,0.997,Glynn_1983,1982-83
Species,Uva,03/20/83,Other scleractinians,Porites lobata,T1,Bleached,0.143,Glynn_1983,1982-83
Species,Uva,03/20/83,Other scleractinians,Pavona varians,T1,Bleached,0.972,Glynn_1983,1982-83
Species,Uva,03/20/83,Other scleractinians,Pavona clavus,T1,Bleached,1,Glynn_1983,1982-83
Species,Uva,03/20/83,Other scleractinians,Pavona gigantea,T1,Bleached,0,Glynn_1983,1982-83
Species,Uva,03/20/83,Other scleractinians,Gardineroseris planulata,T1,Bleached,0.453,Glynn_1983,1982-83
Species,Uva,03/20/83,Other scleractinians,Psammocora stellata,T1,Bleached,0.057,Glynn_1983,1982-83
Species,Uva,03/20/83,Millepora,Millepora intricata,T1,Dead,1,Glynn_1983,1982-83
Species,Uva,03/20/83,Millepora,Millepora platyphylla,T1,Dead,1,Glynn_1983,1982-83
Species,Uva,03/20/83,Pocillopora,Pocillopora damicornis,T1,Dead,0,Glynn_1983,1982-83
Species,Uva,03/20/83,Pocillopora,Pocillopora elegans,T1,Dead,0,Glynn_1983,1982-83
Species,Uva,03/20/83,Other scleractinians,Porites panamensis,T1,Dead,0,Glynn_1983,1982-83
Species,Uva,03/20/83,Other scleractinians,Porites lobata,T1,Dead,0,Glynn_1983,1982-83
Species,Uva,03/20/83,Other scleractinians,Pavona varians,T1,Dead,0,Glynn_1983,1982-83
Species,Uva,03/20/83,Other scleractinians,Pavona clavus,T1,Dead,0,Glynn_1983,1982-83
Species,Uva,03/20/83,Other scleractinians,Pavona gigantea,T1,Dead,0,Glynn_1983,1982-83
Species,Uva,03/20/83,Other scleractinians,Gardineroseris planulata,T1,Dead,0,Glynn_1983,1982-83
Species,Uva,03/20/83,Other scleractinians,Psammocora stellata,T1,Dead,0,Glynn_1983,1982-83
Species,Silva de Afuera,03/15/98,Pocillopora,Pocillopora damicornis,T1,Bleached,0.49,Glynn et al. 2001,1997-98
Species,Jicarón and Jicarita,03/15/98,Pocillopora,Pocillopora damicornis,T1,Bleached,0.15,Glynn et al. 2001,1997-98
Species,Secas,03/15/98,Pocillopora,Pocillopora damicornis,T1,Bleached,0,Glynn et al. 2001,1997-98
Species,Uva,03/15/98,Pocillopora,Pocillopora damicornis,T1,Bleached,0.44,Glynn et al. 2001,1997-98
Species,Silva de Afuera,03/15/98,Pocillopora,Pocillopora elegans,T1,Bleached,0.48,Glynn et al. 2001,1997-98
Species,Jicarón and Jicarita,03/15/98,Pocillopora,Pocillopora elegans,T1,Bleached,0.14,Glynn et al. 2001,1997-98
Species,Secas,03/15/98,Pocillopora,Pocillopora elegans,T1,Bleached,0,Glynn et al. 2001,1997-98
Species,Uva,03/15/98,Pocillopora,Pocillopora elegans,T1,Bleached,0.5,Glynn et al. 2001,1997-98
Species,Silva de Afuera,03/15/98,Other scleractinians,Pavona clavus,T1,Bleached,0.44,Glynn et al. 2001,1997-98
Species,Jicarón and Jicarita,03/15/98,Other scleractinians,Pavona clavus,T1,Bleached,0.12,Glynn et al. 2001,1997-98
Species,Montuoso,03/15/98,Other scleractinians,Pavona clavus,T1,Bleached,0.22,Glynn et al. 2001,1997-98
Species,Secas,03/15/98,Other scleractinians,Pavona clavus,T1,Bleached,0.63,Glynn et al. 2001,1997-98
Species,Uva,03/15/98,Other scleractinians,Pavona clavus,T1,Bleached,0.24,Glynn et al. 2001,1997-98
Species,Silva de Afuera,03/15/98,Other scleractinians,Pavona gigantea,T1,Bleached,0.48,Glynn et al. 2001,1997-98
Species,Jicarón and Jicarita,03/15/98,Other scleractinians,Pavona gigantea,T1,Bleached,0.16,Glynn et al. 2001,1997-98
Species,Secas,03/15/98,Other scleractinians,Pavona gigantea,T1,Bleached,0,Glynn et al. 2001,1997-98
Species,Uva,03/15/98,Other scleractinians,Pavona gigantea,T1,Bleached,0.43,Glynn et al. 2001,1997-98
Species,Silva de Afuera,03/15/98,Other scleractinians,Porites lobata,T1,Bleached,0.43,Glynn et al. 2001,1997-98
Species,Jicarón and Jicarita,03/15/98,Other scleractinians,Porites lobata,T1,Bleached,0.59,Glynn et al. 2001,1997-98
Species,Secas,03/15/98,Other scleractinians,Porites lobata,T1,Bleached,0,Glynn et al. 2001,1997-98
Species,Uva,03/15/98,Other scleractinians,Porites lobata,T1,Bleached,1,Glynn et al. 2001,1997-98
Species,Silva de Afuera,03/15/98,Pocillopora,Pocillopora damicornis,T1,Dead,0.03,Glynn et al. 2001,1997-98
Species,Jicarón and Jicarita,03/15/98,Pocillopora,Pocillopora damicornis,T1,Dead,0,Glynn et al. 2001,1997-98
Species,Secas,03/15/98,Pocillopora,Pocillopora damicornis,T1,Dead,0.28,Glynn et al. 2001,1997-98
Species,Uva,03/15/98,Pocillopora,Pocillopora damicornis,T1,Dead,0.02,Glynn et al. 2001,1997-98
Species,Silva de Afuera,03/15/98,Pocillopora,Pocillopora elegans,T1,Dead,0.01,Glynn et al. 2001,1997-98
Species,Jicarón and Jicarita,03/15/98,Pocillopora,Pocillopora elegans,T1,Dead,0.18,Glynn et al. 2001,1997-98
Species,Secas,03/15/98,Pocillopora,Pocillopora elegans,T1,Dead,0.13,Glynn et al. 2001,1997-98
Species,Uva,03/15/98,Pocillopora,Pocillopora elegans,T1,Dead,0,Glynn et al. 2001,1997-98
Species,Silva de Afuera,03/15/98,Other scleractinians,Pavona clavus,T1,Dead,0.15,Glynn et al. 2001,1997-98
Species,Jicarón and Jicarita,03/15/98,Other scleractinians,Pavona clavus,T1,Dead,0.12,Glynn et al. 2001,1997-98
Species,Montuoso,03/15/98,Other scleractinians,Pavona clavus,T1,Dead,0.55,Glynn et al. 2001,1997-98
Species,Secas,03/15/98,Other scleractinians,Pavona clavus,T1,Dead,0,Glynn et al. 2001,1997-98
Species,Uva,03/15/98,Other scleractinians,Pavona clavus,T1,Dead,0.12,Glynn et al. 2001,1997-98
Species,Silva de Afuera,03/15/98,Other scleractinians,Pavona gigantea,T1,Dead,0.04,Glynn et al. 2001,1997-98
Species,Jicarón and Jicarita,03/15/98,Other scleractinians,Pavona gigantea,T1,Dead,0,Glynn et al. 2001,1997-98
Species,Secas,03/15/98,Other scleractinians,Pavona gigantea,T1,Dead,0.27,Glynn et al. 2001,1997-98
Species,Uva,03/15/98,Other scleractinians,Pavona gigantea,T1,Dead,0.02,Glynn et al. 2001,1997-98
Species,Silva de Afuera,03/15/98,Other scleractinians,Porites lobata,T1,Dead,0.16,Glynn et al. 2001,1997-98
Species,Jicarón and Jicarita,03/15/98,Other scleractinians,Porites lobata,T1,Dead,0,Glynn et al. 2001,1997-98
Species,Secas,03/15/98,Other scleractinians,Porites lobata,T1,Dead,0.36,Glynn et al. 2001,1997-98
Species,Uva,03/15/98,Other scleractinians,Porites lobata,T1,Dead,0,Glynn et al. 2001,1997-98
Species,Uva,08/15/14,Millepora,Millepora intricata,T1,Dead,0,ICA,2015-16
Species,Uva,08/15/14,Other scleractinians,Gardineroseris planulata,T1,Dead,0,ICA,2015-16
Species,Uva,08/15/14,Other scleractinians,Pavona chiriquiensis,T1,Dead,NA,ICA,2015-16
Species,Uva,08/15/14,Other scleractinians,Pavona clavus,T1,Dead,0.071428571428572,ICA,2015-16
Species,Uva,08/15/14,Other scleractinians,Pavona gigantea,T1,Dead,0.173913043478261,ICA,2015-16
Species,Uva,08/15/14,Other scleractinians,Pavona varians,T1,Dead,0.066666666666667,ICA,2015-16
Species,Uva,08/15/14,Other scleractinians,Porites lobata,T1,Dead,0.071428571428572,ICA,2015-16
Species,Uva,08/15/14,Other scleractinians,Porites panamensis,T1,Dead,NA,ICA,2015-16
Species,Uva,08/15/14,Pocillopora,Pocillopora sp.,T1,Dead,NA,ICA,2015-16
Species,Uva,08/15/14,Other scleractinians,Psammocora stellata,T1,Dead,NA,ICA,2015-16
Species,Uva,08/15/14,Other scleractinians,Psammocora superficialis,T1,Dead,NA,ICA,2015-16
Species,Uva,08/15/14,Pocillopora,Pocillopora damicornis,T1,Dead,0,ICA,2015-16
Species,Uva,08/15/14,Pocillopora,Pocillopora elegans,T1,Dead,0,ICA,2015-16
Species,Uva,08/15/14,Pocillopora,Pocillopora eydouxi,T1,Dead,NA,ICA,2015-16
Species,Uva,08/15/14,Millepora,Millepora intricata,T1,Bleached,0.0625,ICA,2015-16
Species,Uva,08/15/14,Other scleractinians,Gardineroseris planulata,T1,Bleached,0,ICA,2015-16
Species,Uva,08/15/14,Other scleractinians,Pavona chiriquiensis,T1,Bleached,NA,ICA,2015-16
Species,Uva,08/15/14,Other scleractinians,Pavona clavus,T1,Bleached,0,ICA,2015-16
Species,Uva,08/15/14,Other scleractinians,Pavona gigantea,T1,Bleached,0,ICA,2015-16
Species,Uva,08/15/14,Other scleractinians,Pavona varians,T1,Bleached,0,ICA,2015-16
Species,Uva,08/15/14,Other scleractinians,Porites lobata,T1,Bleached,0,ICA,2015-16
Species,Uva,08/15/14,Other scleractinians,Porites panamensis,T1,Bleached,NA,ICA,2015-16
Species,Uva,08/15/14,Pocillopora,Pocillopora sp.,T1,Bleached,NA,ICA,2015-16
Species,Uva,08/15/14,Other scleractinians,Psammocora stellata,T1,Bleached,NA,ICA,2015-16
Species,Uva,08/15/14,Other scleractinians,Psammocora superficialis,T1,Bleached,NA,ICA,2015-16
Species,Uva,08/15/14,Pocillopora,Pocillopora damicornis,T1,Bleached,0,ICA,2015-16
Species,Uva,08/15/14,Pocillopora,Pocillopora elegans,T1,Bleached,0,ICA,2015-16
Species,Uva,08/15/14,Pocillopora,Pocillopora eydouxi,T1,Bleached,NA,ICA,2015-16
Species,Uva,08/15/15,Millepora,Millepora intricata,T1,Dead,0.942857142857143,ICA,2015-16
Species,Uva,08/15/15,Other scleractinians,Gardineroseris planulata,T1,Dead,0.259259259259259,ICA,2015-16
Species,Uva,08/15/15,Other scleractinians,Pavona chiriquiensis,T1,Dead,0.375,ICA,2015-16
Species,Uva,08/15/15,Other scleractinians,Pavona clavus,T1,Dead,0.3,ICA,2015-16
Species,Uva,08/15/15,Other scleractinians,Pavona gigantea,T1,Dead,0.314814814814815,ICA,2015-16
Species,Uva,08/15/15,Other scleractinians,Pavona varians,T1,Dead,0.25,ICA,2015-16
Species,Uva,08/15/15,Other scleractinians,Porites lobata,T1,Dead,0.104477611940299,ICA,2015-16
Species,Uva,08/15/15,Other scleractinians,Porites panamensis,T1,Dead,0.024390243902439,ICA,2015-16
Species,Uva,08/15/15,Pocillopora,Pocillopora sp.,T1,Dead,NA,ICA,2015-16
Species,Uva,08/15/15,Other scleractinians,Psammocora stellata,T1,Dead,0.166666666666667,ICA,2015-16
Species,Uva,08/15/15,Other scleractinians,Psammocora superficialis,T1,Dead,NA,ICA,2015-16
Species,Uva,08/15/15,Pocillopora,Pocillopora damicornis,T1,Dead,0.060240963855422,ICA,2015-16
Species,Uva,08/15/15,Pocillopora,Pocillopora elegans,T1,Dead,0.01219512195122,ICA,2015-16
Species,Uva,08/15/15,Pocillopora,Pocillopora eydouxi,T1,Dead,NA,ICA,2015-16
