Year,Median,Mean,SD,,
1980,44.0890410958904,44.0890410958904,46.5431244328954,,-99.2217187574482
1983,7.14404513345196,6.09109096249205,4.65458341870758,,
1984,0.343136736870266,0.342122812962835,0.144693546525354,,
1985,0.581878338962966,0.582855694243186,0.147580929764344,,
1986,0.815284735308461,0.815284735308461,0.378075188842631,,
1987,1.06465337897288,1.06465337897288,0.838098887908365,,
1988,2.0203904505179,2.0203904505179,0.625141924625112,,
1989,1.08534305764371,1.13651622201557,0.725956777928657,,
1990,1.92631880352561,2.26656653070309,0.844214703735153,,
1992,3.95008462252298,3.95008462252298,0.931889496111068,,
1993,4.62415171747784,4.62415171747784,2.68580611586132,,
1994,4.31296015480823,3.94642238655383,2.34721679122677,,
1995,8.66460171188198,10.1601586253119,6.64710683412323,,
1997,16.4069207974072,11.9706305561171,8.18274891290181,,12.9377646655755
1998,10.4218985457812,10.4218985457812,8.531964078705,,
2000,20.1742912061315,19.6570559733741,13.356098618405,,
2001,25.9583580739227,25.9583580739227,11.9331383601694,,
2002,27.8682997670933,29.0060680683276,17.502709578373,,
2003,30.9298600556808,31.3880321867606,18.6864829473105,,
2004,36.0943670384567,36.0943670384567,29.1012629482354,,
2005,29.1126379381002,34.9533522367806,19.789404141058,,
2006,48.8498434908489,48.8498434908489,23.3032128084506,,
2007,37.320081668524,38.3401117337252,24.5046307216465,,
2010,42.9420303844824,43.3277444742329,24.8718183588234,,
2014,35.4007513351504,39.8591159087535,24.9401399483216,,
2015,47.6937192727273,47.7554658756553,24.709248285539,,16.2059904621573
2016,39.276857,40.0162196306878,16.9059674891987,,
2017,68.2269568,54.7927038094148,26.2971764502678,,
2018,59.4116538181818,56.3496988781359,18.9225517321103,,
